source,target,population,weight
IR,fa,62000000,0.75000
IR,az_Arab,20000000,0.24000
IR,mzn,4200000,0.05000
IR,glk,3800000,0.04600
IR,ckb,3200000,0.03900
IR,sdh,3100000,0.03700
IR,tk,2300000,0.02800
IR,lrc,1700000,0.02100
IR,ar,1700000,0.02000
IR,bal,1700000,0.02000
IR,rmt,1600000,0.01900
IR,bqi,1200000,0.01400
IR,luz,1000000,0.01200
IR,lki,630000,0.00760
IR,bgn,460000,0.00560
IR,prd,420000,0.00500
IR,hy,200000,0.00240
IR,ps,130000,0.00160
IR,ka,59000,0.00071
IR,gbz,8000,0.00010
IR,kk_Arab,3000,0.00004
IQ,ar,27000000,0.68000
IQ,en,14000000,0.35000
IQ,ckb,8000000,0.20000
IQ,az_Arab,720000,0.01800
IQ,fa,350000,0.00870
IQ,lrc,250000,0.00610
IQ,syr,200000,0.00500
IE,en,5000000,0.98000
IE,ga,1100000,0.22000
IE,fr,860000,0.17000
IM,en,89000,1.00000
IM,gv,1700,0.01900
IL,he,8400000,1.00000
IL,en,7200000,0.85000
IL,ar,1700000,0.20000
IL,ru,930000,0.11000
IL,ro,310000,0.03700
IL,yi,250000,0.03000
IL,pl,130000,0.01500
IL,lad,110000,0.01300
IL,hu,84000,0.01000
IL,am,50000,0.00590
IL,ti,10000,0.00120
IL,ml,8000,0.00095
IT,it,59000000,0.95000
IT,en,21000000,0.34000
IT,fr,3900000,0.06300
IT,sc,1100000,0.01700
IT,de,1000000,0.01600
IT,vec,810000,0.01300
IT,nap,600000,0.00970
IT,lij,540000,0.00860
IT,scn,510000,0.00820
IT,sdc,110000,0.00170
IT,sl,110000,0.00170
IT,fur,37000,0.00060
IT,egl,31000,0.00050
IT,ca,22000,0.00035
IT,el,22000,0.00035
IT,lmo,19000,0.00030
IT,pms,6200,0.00010
IT,hr,3500,0.00006
JM,en,2800000,0.98000
JM,jam,2700000,0.95000
JP,ja,120000000,0.95000
JP,ryu,970000,0.00770
JP,ko,660000,0.00520
JE,en,95000,0.95000
JO,ar,10000000,1.00000
JO,en,4700000,0.45000
KZ,ru,13000000,0.72000
KZ,kk,12000000,0.64000
KZ,en,2800000,0.15000
KZ,de,1200000,0.06400
KZ,ug_Cyrl,370000,0.02000
KE,sw,32000000,0.66000
KE,en,9200000,0.19000
KE,ki,8200000,0.17000
KE,luy,5300000,0.11000
KE,luo,4700000,0.09800
KE,kam,3700000,0.07600
KE,kln,3700000,0.07600
KE,guz,2400000,0.04900
KE,mer,1900000,0.04000
KE,mas,770000,0.01600
KE,ebu,730000,0.01500
KE,so,630000,0.01300
